R,G,B,EX,LI,BF3,RF3,GF2
212.5,32.62,6.22,20000,R100,0.05,0.6,0.133333333
255,81.28,15.9,20000,R100,0.116666667,0.066666667,0.083333333
255,147,28.63,20000,R100,0.033333333,0.2,0.05
255,247.32,49.49,20000,R100,0.066666667,0.333333333,0.016666667
185.89,28.32,5.92,20000,R100,0.083333333,0.133333333,0.15
155.29,23.54,4.92,20000,R100,0.133333333,0.4,0.166666667
255,189.04,37.08,20000,R100,0.15,0.533333333,0.033333333
255,56.02,11.04,20000,R100,0.016666667,0.333333333,0.116666667
255,86.1,16.11,20000,R100,0.033333333,0.6,0.083333333
220.22,34.62,6.18,20000,R100,0.1,0.666666667,0.133333333
255,111.23,20.73,20000,R100,0.166666667,0.4,0.066666667
255,152.15,28.48,20000,R100,0.05,0.133333333,0.05
255,185.18,35.12,20000,R100,0.133333333,0.533333333,0.033333333
142.81,21.76,4.28,20000,R100,0.066666667,0.466666667,0.166666667
255,251.26,47.94,20000,R100,0.083333333,0.266666667,0.016666667
255,84.42,16.21,20000,R100,0.116666667,0.066666667,0.1
191.96,29.62,5.49,20000,R100,0.15,0.2,0.15
255,52.72,10.42,20000,R100,0.1,0.066666667,0.116666667
251.36,39.77,7.48,20000,R100,0.016666667,0.4,0.133333333
138.02,20.93,3.89,20000,R100,0.066666667,0.266666667,0.166666667
255,92.06,17.29,20000,R100,0.033333333,0.133333333,0.083333333
179.03,27.7,5.24,20000,R100,0.133333333,0.6,0.15
255,113.6,21.45,20000,R100,0.083333333,0.666666667,0.066666667
255,195.33,37.3,20000,R100,0.05,0.533333333,0.033333333
255,252,49.15,20000,R100,0.116666667,0.333333333,0.016666667
255,64.57,12.39,20000,R100,0.166666667,0.466666667,0.1
255,153.04,28.76,20000,R100,0.15,0.2,0.05
255,119.63,22.32,20000,R100,0.083333333,0.066666667,0.066666667
254.18,40.64,7.69,20000,R100,0.133333333,0.133333333,0.133333333
255,250.75,48.33,20000,R100,0.116666667,0.4,0.016666667
255,86.72,16.06,20000,R100,0.016666667,0.466666667,0.083333333
255,64.99,12.45,20000,R100,0.166666667,0.266666667,0.1
255,199.01,37.28,20000,R100,0.05,0.2,0.033333333
189.35,29.28,5.55,20000,R100,0.033333333,0.333333333,0.15
135.42,20.88,3.85,20000,R100,0.1,0.533333333,0.166666667
255,149.74,27.82,20000,R100,0.15,0.6,0.05
255,47.48,8.6,20000,R100,0.066666667,0.666666667,0.116666667
255,119.12,21.54,20000,R100,0.1,0.066666667,0.066666667
255,67.43,12.39,20000,R100,0.016666667,0.266666667,0.1
224.12,34.93,6.7,20000,R100,0.083333333,0.666666667,0.133333333
255,151.84,27.68,20000,R100,0.033333333,0.533333333,0.05
255,254.47,48.75,20000,R100,0.066666667,0.4,0.016666667
255,200.9,36.76,20000,R100,0.133333333,0.2,0.033333333
134.92,20.63,3.86,20000,R100,0.116666667,0.466666667,0.166666667
186.39,29.15,5.34,20000,R100,0.05,0.133333333,0.15
255,48.98,9,20000,R100,0.166666667,0.333333333,0.116666667
255,83.74,16.14,20000,R100,0.15,0.6,0.083333333
216.48,33.91,6.03,20000,R100,0.033333333,0.2,0.133333333
137.99,21.22,3.8,20000,R100,0.083333333,0.466666667,0.166666667
255,110.83,20.27,20000,R100,0.016666667,0.4,0.066666667
255,70.71,13.23,20000,R100,0.066666667,0.066666667,0.1
180.9,28.08,5.22,20000,R100,0.15,0.333333333,0.15
255,150.73,28.08,20000,R100,0.133333333,0.133333333,0.05
255,85.89,15.86,20000,R100,0.166666667,0.533333333,0.083333333
255,254.13,48.94,20000,R100,0.1,0.266666667,0.016666667
255,48.13,8.89,20000,R100,0.116666667,0.666666667,0.116666667
255,198.13,37.41,20000,R100,0.05,0.6,0.033333333
255,255,53.73,20000,R100,0.0143,0.05,0.0123
255,234.04,44.06,20000,R100,0.0286,0.1,0.0246
255,192.69,35.92,20000,R100,0.0429,0.15,0.0369
255,159.45,29.5,20000,R100,0.0572,0.2,0.0492
255,133.4,24.9,20000,R100,0.0715,0.25,0.0615
255,108.49,19.97,20000,R100,0.0858,0.3,0.0738
255,81.78,15.41,20000,R100,0.1001,0.35,0.0861
255,68.92,12.94,20000,R100,0.1144,0.4,0.0984
255,57.69,10.67,20000,R100,0.1287,0.45,0.1107
255,46.25,8.55,20000,R100,0.143,0.5,0.123
255,105.02,21.63,40000,R100,0.166666667,0.266666667,0.116666667
255,126.21,25.31,40000,R100,0.016666667,0.466666667,0.1
255,198.52,41.03,40000,R100,0.1,0.666666667,0.066666667
255,65.56,13.36,40000,R100,0.05,0.6,0.133333333
255,159.95,32.87,40000,R100,0.116666667,0.066666667,0.083333333
255,255,57.25,40000,R100,0.033333333,0.2,0.05
255,255,100.76,40000,R100,0.066666667,0.333333333,0.016666667
255,56.64,11.78,40000,R100,0.083333333,0.133333333,0.15
255,47.2,9.33,40000,R100,0.133333333,0.4,0.166666667
255,255,75.41,40000,R100,0.15,0.533333333,0.033333333
255,111.35,21.77,40000,R100,0.016666667,0.333333333,0.116666667
255,168.89,33.1,40000,R100,0.033333333,0.6,0.083333333
255,68.31,13.79,40000,R100,0.1,0.666666667,0.133333333
255,215.53,42.5,40000,R100,0.166666667,0.4,0.066666667
255,255,57.14,40000,R100,0.05,0.133333333,0.05
255,255,71.52,40000,R100,0.133333333,0.533333333,0.033333333
255,43.62,8.73,40000,R100,0.066666667,0.466666667,0.166666667
255,255,97.2,40000,R100,0.083333333,0.266666667,0.016666667
255,166.41,32.62,40000,R100,0.116666667,0.066666667,0.1
255,59.09,11.85,40000,R100,0.15,0.2,0.15
255,105.21,21,40000,R100,0.1,0.066666667,0.116666667
255,79.14,15.82,40000,R100,0.016666667,0.4,0.133333333
255,42.06,8.08,40000,R100,0.066666667,0.266666667,0.166666667
255,179.49,36.14,40000,R100,0.033333333,0.133333333,0.083333333
